PPCName,S1,S2,S3,S4,S5
p08_gpcc-octree-raht_r02,0.21155,0.43339,0.11041,0.60703,0.3139
p08_gpcc-octree-raht_r03,0.41453,0.69695,0.16099,0.73358,0.82161
p08_gpcc-octree-raht_r04,0.67208,0.86094,0.23335,0.87102,0.92419
p08_gpcc-octree-raht_r05,0.7517,0.90181,0.44487,0.99587,0.96539
p08_gpcc-octree-raht_r06,0.77901,0.91444,0.70212,0.97765,0.9837
p08_vpcc_r00,0.37139,0.53032,0.1297,0.64248,1
p08_vpcc_r01,0.43663,0.6145,0.15254,0.66152,1
p08_vpcc_r02,0.48255,0.67061,0.19324,0.70013,1
p08_vpcc_r03,0.51639,0.70934,0.24517,0.75748,1
p08_vpcc_r04,0.53957,0.72989,0.31522,0.82347,1
p08_vpcc_r05,0.57827,0.77135,0.47596,0.95941,1
p09_geocnn_r01,0.34778,0.49735,0.59886,0.9789,1
p09_geocnn_r02,0.46944,0.68732,0.63228,0.98723,1
p09_geocnn_r03,0.54483,0.76865,0.67238,0.97728,1
p09_geocnn_r04,0.54559,0.82648,0.64838,0.99041,1
p09_gpcc-octree-predlift_r02,0.21957,0.45761,0.10248,0.59163,0.31573
p09_gpcc-octree-predlift_r03,0.42287,0.7222,0.18573,0.73986,0.83652
p09_gpcc-octree-predlift_r04,0.67924,0.87239,0.38305,0.9315,0.93172
p09_gpcc-octree-predlift_r05,0.75532,0.90762,0.59976,0.99382,0.96882
p09_gpcc-octree-predlift_r06,0.78331,0.92036,0.79687,0.96588,0.98525
p09_gpcc-octree-raht_r02,0.21957,0.45761,0.091125,0.59779,0.31573
p09_gpcc-octree-raht_r03,0.42287,0.7222,0.15575,0.71943,0.83652
p09_gpcc-octree-raht_r04,0.67924,0.87239,0.28801,0.88065,0.93172
p09_gpcc-octree-raht_r05,0.75532,0.90762,0.52535,0.96379,0.96882
p09_gpcc-octree-raht_r06,0.78331,0.92036,0.72651,0.95002,0.98525
p09_vpcc_r00,0.17726,0.29447,0.11572,0.61772,1
p09_vpcc_r01,0.1902,0.31618,0.14661,0.63703,1
p09_vpcc_r02,0.19965,0.33082,0.18846,0.67225,1
p09_vpcc_r03,0.20948,0.345,0.25117,0.73689,1
p09_vpcc_r04,0.21302,0.35029,0.359,0.84585,1
p09_vpcc_r05,0.28364,0.44884,0.54822,0.95007,1
p10_geocnn_r01,0.37402,0.52827,0.62373,0.90146,1
p10_geocnn_r02,0.48864,0.68605,0.66031,0.9044,1
p10_geocnn_r03,0.57528,0.76408,0.70425,0.89762,1
p10_geocnn_r04,0.56803,0.81833,0.68264,0.90514,1
p10_gpcc-octree-predlift_r02,0.2136,0.43718,0.10656,0.61145,0.2785
p10_gpcc-octree-predlift_r03,0.41895,0.70633,0.1743,0.78533,0.80036
p10_gpcc-octree-predlift_r04,0.67373,0.86282,0.31319,0.96634,0.91732
p10_gpcc-octree-predlift_r05,0.75237,0.9025,0.62023,0.95517,0.96253
p10_gpcc-octree-predlift_r06,0.77793,0.91252,0.78511,0.99432,0.98244
p10_gpcc-octree-raht_r02,0.2136,0.43718,0.099788,0.63908,0.2785
p10_gpcc-octree-raht_r03,0.41895,0.70633,0.15054,0.77973,0.80036
p10_gpcc-octree-raht_r04,0.67373,0.86282,0.23823,0.93021,0.91732
p10_gpcc-octree-raht_r05,0.75237,0.9025,0.45777,0.97248,0.96253
p10_gpcc-octree-raht_r06,0.77793,0.91252,0.70868,0.98671,0.98244
p10_vpcc_r00,0.083637,0.16077,0.12395,0.6843,1
p10_vpcc_r01,0.05203,0.10553,0.15069,0.70889,1
p10_vpcc_r02,0.083741,0.17389,0.18709,0.74106,1
p10_vpcc_r03,0.094008,0.18778,0.23732,0.78418,1
p10_vpcc_r04,0.092427,0.18841,0.31404,0.85952,1
p10_vpcc_r05,0.10104,0.19361,0.51954,0.99257,1
p11_geocnn_r01,0.82161,0.85657,0.72836,0.81311,1
p11_geocnn_r02,0.86686,0.90165,0.73432,0.80893,1
p11_geocnn_r03,0.90798,0.93316,0.74548,0.80497,1
p11_geocnn_r04,0.93473,0.95732,0.75186,0.80312,1
p11_gpcc-octree-predlift_r02,0.2293,0.49047,0.12728,0.52645,0.06652
p11_gpcc-octree-predlift_r03,0.48185,0.74123,0.19187,0.60374,0.26058
p11_gpcc-octree-predlift_r04,0.70673,0.88257,0.33794,0.865,0.57424
p11_gpcc-octree-predlift_r05,0.76403,0.90776,0.59314,0.9701,0.7735
p11_gpcc-octree-predlift_r06,0.78465,0.91742,0.77974,0.9475,0.8836
p11_gpcc-octree-raht_r02,0.2293,0.49047,0.11734,0.52806,0.06652
p11_gpcc-octree-raht_r03,0.48185,0.74123,0.17842,0.60839,0.26058
p11_gpcc-octree-raht_r04,0.70673,0.88257,0.28603,0.81555,0.57424
p11_gpcc-octree-raht_r05,0.76403,0.90776,0.55874,0.92197,0.7735
p11_gpcc-octree-raht_r06,0.78465,0.91742,0.73594,0.91645,0.8836
p11_vpcc_r00,0.53493,0.68486,0.15636,0.6156,0.8451
p11_vpcc_r01,0.64952,0.76286,0.18864,0.65877,0.92157
p11_vpcc_r02,0.72837,0.81548,0.22398,0.71508,0.9593
p11_vpcc_r03,0.78311,0.85593,0.33936,0.79869,0.96898
p11_vpcc_r04,0.81993,0.8812,0.60219,0.90714,0.98628
p11_vpcc_r05,0.85433,0.91042,0.82241,0.96434,0.96363
p13_geocnn_r01,0.83871,0.87722,0.74832,0.76931,1
p13_geocnn_r02,0.87656,0.91094,0.75922,0.76241,1
p13_geocnn_r03,0.91155,0.93691,0.77066,0.75702,1
p13_geocnn_r04,0.93706,0.96091,0.77415,0.75131,0.99889
p13_gpcc-octree-predlift_r02,0.22923,0.49187,0.22254,0.53935,0.067081
p13_gpcc-octree-predlift_r03,0.48209,0.74184,0.38215,0.64742,0.26222
p13_gpcc-octree-predlift_r04,0.70678,0.88257,0.64321,0.88921,0.57625
p13_gpcc-octree-predlift_r05,0.76495,0.90874,0.79772,0.94762,0.77505
p13_gpcc-octree-predlift_r06,0.78442,0.91646,0.88968,0.95833,0.88432
p13_gpcc-octree-raht_r02,0.22923,0.49187,0.18779,0.54404,0.067081
p13_gpcc-octree-raht_r03,0.48209,0.74184,0.33562,0.66115,0.26222
p13_gpcc-octree-raht_r04,0.70678,0.88257,0.59522,0.87617,0.57625
p13_gpcc-octree-raht_r05,0.76495,0.90874,0.77694,0.92367,0.77505
p13_gpcc-octree-raht_r06,0.78442,0.91646,0.86957,0.93146,0.88432
p13_vpcc_r00,0.55878,0.70854,0.30486,0.67984,0.8326
p13_vpcc_r01,0.66607,0.78137,0.41548,0.74465,0.91113
p13_vpcc_r02,0.74503,0.83188,0.55612,0.81571,0.96222
p13_vpcc_r03,0.79638,0.86745,0.70149,0.87661,0.97993
p13_vpcc_r04,0.83117,0.88828,0.80998,0.92549,1
p13_vpcc_r05,0.86326,0.91456,0.87694,0.9514,0.97764
p14_geocnn_r01,0.84124,0.87959,0.6687,0.75635,1
p14_geocnn_r02,0.88145,0.91799,0.68229,0.75228,1
p14_geocnn_r03,0.91559,0.94262,0.69018,0.74013,1
p14_geocnn_r04,0.94058,0.96506,0.69707,0.73605,0.99273
p14_gpcc-octree-predlift_r02,0.2284,0.50079,0.16784,0.54374,0.066389
p14_gpcc-octree-predlift_r03,0.48058,0.74912,0.34021,0.66313,0.26045
p14_gpcc-octree-predlift_r04,0.7072,0.88572,0.64789,0.94329,0.57461
p14_gpcc-octree-predlift_r05,0.76499,0.90947,0.80358,0.95855,0.77377
p14_gpcc-octree-predlift_r06,0.78319,0.91573,0.89968,0.95823,0.88297
p14_gpcc-octree-raht_r02,0.2284,0.50079,0.15035,0.5522,0.066389
p14_gpcc-octree-raht_r03,0.48058,0.74912,0.31143,0.66251,0.26045
p14_gpcc-octree-raht_r04,0.7072,0.88572,0.604,0.91728,0.57461
p14_gpcc-octree-raht_r05,0.76499,0.90947,0.78212,0.94127,0.77377
p14_gpcc-octree-raht_r06,0.78319,0.91573,0.88488,0.94516,0.88297
p14_vpcc_r00,0.53152,0.69754,0.31101,0.74482,0.78473
p14_vpcc_r01,0.65324,0.78242,0.44682,0.80612,0.90083
p14_vpcc_r02,0.73853,0.83345,0.59742,0.85631,0.96782
p14_vpcc_r03,0.79099,0.86762,0.72026,0.89831,0.99249
p14_vpcc_r04,0.83074,0.8925,0.80331,0.92377,1
p14_vpcc_r05,0.86685,0.919,0.86398,0.94243,0.98642
p15_geocnn_r01,0.83303,0.87063,0.74736,0.7438,1
p15_geocnn_r02,0.87107,0.90718,0.74952,0.74106,1
p15_geocnn_r03,0.90864,0.93533,0.76128,0.73434,1
p15_geocnn_r04,0.93611,0.95986,0.76729,0.73194,0.99702
p15_gpcc-octree-predlift_r02,0.22964,0.49992,0.19431,0.54032,0.066044
p15_gpcc-octree-predlift_r03,0.48299,0.74827,0.32163,0.64593,0.25968
p15_gpcc-octree-predlift_r04,0.70728,0.88483,0.53362,0.91774,0.57331
p15_gpcc-octree-predlift_r05,0.76443,0.90869,0.72047,0.96358,0.77285
p15_gpcc-octree-predlift_r06,0.78492,0.91737,0.8345,0.96476,0.88341
p15_gpcc-octree-raht_r02,0.22964,0.49992,0.17995,0.54827,0.066044
p15_gpcc-octree-raht_r03,0.48299,0.74827,0.297,0.6435,0.25968
p15_gpcc-octree-raht_r04,0.70728,0.88483,0.49756,0.89422,0.57331
p15_gpcc-octree-raht_r05,0.76443,0.90869,0.68788,0.94499,0.77285
p15_gpcc-octree-raht_r06,0.78492,0.91737,0.80728,0.93976,0.88341
p15_vpcc_r00,0.50431,0.67295,0.25391,0.70065,0.7724
p15_vpcc_r01,0.63584,0.76216,0.32517,0.7674,0.91106
p15_vpcc_r02,0.72598,0.81841,0.42802,0.82779,0.96184
p15_vpcc_r03,0.78451,0.85801,0.5604,0.89237,0.98235
p15_vpcc_r04,0.82346,0.88445,0.69979,0.94256,0.998
p15_vpcc_r05,0.85922,0.91267,0.83156,0.96507,0.97342
p20_geocnn_r01,0.80121,0.8475,0.60133,0.81668,1
p20_geocnn_r02,0.84162,0.88671,0.59965,0.81806,1
p20_geocnn_r03,0.88085,0.91793,0.59346,0.81775,1
p20_geocnn_r04,0.914,0.94442,0.61156,0.81638,1
p20_gpcc-octree-predlift_r02,0.23007,0.50404,0.073343,0.51682,0.063423
p20_gpcc-octree-predlift_r03,0.48219,0.75096,0.10294,0.58596,0.25447
p20_gpcc-octree-predlift_r04,0.70743,0.88598,0.23226,0.8678,0.56771
p20_gpcc-octree-predlift_r05,0.76485,0.90953,0.47687,0.97032,0.76946
p20_gpcc-octree-predlift_r06,0.7837,0.91637,0.67136,0.95068,0.8803
p20_gpcc-octree-raht_r02,0.23007,0.50404,0.070591,0.51682,0.063423
p20_gpcc-octree-raht_r03,0.48219,0.75096,0.09353,0.57881,0.25447
p20_gpcc-octree-raht_r04,0.70743,0.88598,0.20013,0.82208,0.56771
p20_gpcc-octree-raht_r05,0.76485,0.90953,0.45681,0.93371,0.76946
p20_gpcc-octree-raht_r06,0.7837,0.91637,0.62797,0.93183,0.8803
p20_vpcc_r00,0.46713,0.64593,0.076106,0.56306,0.80239
p20_vpcc_r01,0.57828,0.72916,0.092004,0.62358,0.89421
p20_vpcc_r02,0.66577,0.78632,0.13543,0.71166,0.95854
p20_vpcc_r03,0.72684,0.83006,0.23439,0.81669,0.96179
p20_vpcc_r04,0.76951,0.85716,0.41401,0.89184,0.98415
p20_vpcc_r05,0.80736,0.8938,0.55296,0.91348,0.92889
p21_geocnn_r01,0.82214,0.86441,0.65586,0.85443,1
p21_geocnn_r02,0.86369,0.89979,0.67503,0.85021,1
p21_geocnn_r03,0.90284,0.933,0.68887,0.84433,1
p21_geocnn_r04,0.93474,0.95895,0.69712,0.84061,1
p21_gpcc-octree-predlift_r02,0.23299,0.47973,0.12092,0.5344,0.066583
p21_gpcc-octree-predlift_r03,0.48594,0.73268,0.17991,0.60707,0.26135
p21_gpcc-octree-predlift_r04,0.70778,0.87972,0.36347,0.84452,0.57548
p21_gpcc-octree-predlift_r05,0.7652,0.90772,0.59339,0.92355,0.77452
p21_gpcc-octree-predlift_r06,0.78409,0.91556,0.76689,0.94031,0.88431
p21_gpcc-octree-raht_r02,0.23299,0.47973,0.11612,0.53564,0.066583
p21_gpcc-octree-raht_r03,0.48594,0.73268,0.16714,0.60137,0.26135
p21_gpcc-octree-raht_r04,0.70778,0.87972,0.32433,0.79805,0.57548
p21_gpcc-octree-raht_r05,0.7652,0.90772,0.5619,0.89634,0.77452
p21_gpcc-octree-raht_r06,0.78409,0.91556,0.72446,0.91991,0.88431
p21_vpcc_r00,0.52792,0.67793,0.13402,0.60316,0.81709
p21_vpcc_r01,0.63542,0.75502,0.16832,0.63734,0.88225
p21_vpcc_r02,0.71332,0.80551,0.23604,0.70747,0.94673
p21_vpcc_r03,0.77123,0.84589,0.37485,0.81633,0.96696
p21_vpcc_r04,0.80999,0.87188,0.57842,0.92075,0.99055
p21_vpcc_r05,0.84683,0.90248,0.74634,0.96309,0.97288
p22_geocnn_r01,0.77419,0.8189,0.2592,0.83087,1
p22_geocnn_r02,0.83334,0.87055,0.26754,0.82778,1
p22_geocnn_r03,0.87644,0.91501,0.27444,0.82721,1
p22_geocnn_r04,0.91539,0.94713,0.28543,0.82395,0.99938
p22_gpcc-octree-predlift_r02,0.23465,0.48355,0.020526,0.52399,0.064795
p22_gpcc-octree-predlift_r03,0.48656,0.73667,0.044738,0.64415,0.25743
p22_gpcc-octree-predlift_r04,0.70946,0.88295,0.15584,0.93562,0.57062
p22_gpcc-octree-predlift_r05,0.76412,0.90701,0.32334,0.93246,0.76959
p22_gpcc-octree-predlift_r06,0.78039,0.91075,0.50701,0.94734,0.88093
p22_gpcc-octree-raht_r02,0.23465,0.48355,0.018681,0.52468,0.064795
p22_gpcc-octree-raht_r03,0.48656,0.73667,0.041244,0.63131,0.25743
p22_gpcc-octree-raht_r04,0.70946,0.88295,0.13442,0.89647,0.57062
p22_gpcc-octree-raht_r05,0.76412,0.90701,0.30812,0.92116,0.76959
p22_gpcc-octree-raht_r06,0.78039,0.91075,0.47332,0.93655,0.88093
p22_vpcc_r00,0.47824,0.64097,0.030497,0.62502,0.77425
p22_vpcc_r01,0.58749,0.72118,0.049171,0.70974,0.8836
p22_vpcc_r02,0.67671,0.78074,0.096028,0.83068,0.94633
p22_vpcc_r03,0.73506,0.82415,0.24957,0.93273,0.95368
p22_vpcc_r04,0.78285,0.8558,0.44391,0.96469,0.98184
p22_vpcc_r05,0.82985,0.8932,0.55698,0.97041,0.94982
p23_geocnn_r01,0.73019,0.77027,0.35595,0.83987,1
p23_geocnn_r02,0.8238,0.87809,0.3706,0.83621,1
p23_geocnn_r03,0.86922,0.90607,0.38826,0.82991,1
p23_geocnn_r04,0.90212,0.94023,0.39351,0.82691,1
p23_gpcc-octree-predlift_r02,0.22907,0.47625,0.041982,0.53039,0.065855
p23_gpcc-octree-predlift_r03,0.48453,0.74012,0.087392,0.63202,0.26188
p23_gpcc-octree-predlift_r04,0.70408,0.87596,0.24825,0.881,0.57612
p23_gpcc-octree-predlift_r05,0.76397,0.90677,0.45915,0.90952,0.7742
p23_gpcc-octree-predlift_r06,0.77732,0.90716,0.65063,0.9277,0.88391
p23_gpcc-octree-raht_r02,0.22907,0.47625,0.037225,0.53375,0.065855
p23_gpcc-octree-raht_r03,0.48453,0.74012,0.082175,0.62523,0.26188
p23_gpcc-octree-raht_r04,0.70408,0.87596,0.22494,0.84647,0.57612
p23_gpcc-octree-raht_r05,0.76397,0.90677,0.44233,0.89512,0.7742
p23_gpcc-octree-raht_r06,0.77732,0.90716,0.61877,0.91529,0.88391
p23_vpcc_r00,0.47232,0.65999,0.059153,0.62949,0.85783
p23_vpcc_r01,0.57383,0.72926,0.088934,0.68585,0.93028
p23_vpcc_r02,0.65746,0.78498,0.15513,0.77147,0.96385
p23_vpcc_r03,0.72087,0.82943,0.29605,0.87652,0.96405
p23_vpcc_r04,0.76888,0.85889,0.48778,0.93066,0.98461
p23_vpcc_r05,0.80976,0.89815,0.59402,0.94745,0.93175
p24_geocnn_r01,0.72742,0.80865,0.61888,0.89636,1
p24_geocnn_r02,0.77566,0.84653,0.63211,0.89715,1
p24_geocnn_r03,0.82583,0.87649,0.65559,0.89346,1
p24_geocnn_r04,0.86599,0.91796,0.65886,0.89321,1
p24_gpcc-octree-predlift_r02,0.22922,0.51823,0.085996,0.51894,0.065212
p24_gpcc-octree-predlift_r03,0.48104,0.75952,0.12009,0.57164,0.2607
p24_gpcc-octree-predlift_r04,0.7068,0.88683,0.23176,0.79578,0.57487
p24_gpcc-octree-predlift_r05,0.76478,0.90987,0.48431,0.92831,0.77435
p24_gpcc-octree-predlift_r06,0.78346,0.91681,0.68525,0.91271,0.88293
p24_gpcc-octree-raht_r02,0.22922,0.51823,0.081243,0.51875,0.065212
p24_gpcc-octree-raht_r03,0.48104,0.75952,0.10568,0.56546,0.2607
p24_gpcc-octree-raht_r04,0.7068,0.88683,0.19977,0.74961,0.57487
p24_gpcc-octree-raht_r05,0.76478,0.90987,0.45886,0.88625,0.77435
p24_gpcc-octree-raht_r06,0.78346,0.91681,0.63743,0.88672,0.88293
p24_vpcc_r00,0.41512,0.6231,0.086224,0.55889,0.84616
p24_vpcc_r01,0.51333,0.69871,0.098073,0.5731,0.91355
p24_vpcc_r02,0.59992,0.75389,0.12729,0.61297,0.95424
p24_vpcc_r03,0.66747,0.79636,0.218,0.72341,0.95953
p24_vpcc_r04,0.71695,0.82856,0.4377,0.87467,0.96623
p24_vpcc_r05,0.76111,0.87151,0.65165,0.94104,0.90073
p25_geocnn_r01,0.7732,0.83231,0.62491,0.86169,1
p25_geocnn_r02,0.81888,0.87045,0.63812,0.85997,1
p25_geocnn_r03,0.86146,0.90064,0.65775,0.85229,1
p25_geocnn_r04,0.89747,0.93308,0.66656,0.84666,1
p25_gpcc-octree-predlift_r02,0.23137,0.5073,0.10607,0.5304,0.065477
p25_gpcc-octree-predlift_r03,0.48558,0.75206,0.16131,0.60537,0.26065
p25_gpcc-octree-predlift_r04,0.70723,0.88436,0.32046,0.83735,0.57464
p25_gpcc-octree-predlift_r05,0.76401,0.90794,0.55959,0.91588,0.77391
p25_gpcc-octree-predlift_r06,0.78558,0.91812,0.75248,0.9279,0.88415
p25_gpcc-octree-raht_r02,0.23137,0.5073,0.10314,0.53373,0.065477
p25_gpcc-octree-raht_r03,0.48558,0.75206,0.14774,0.60572,0.26065
p25_gpcc-octree-raht_r04,0.70723,0.88436,0.28437,0.79574,0.57464
p25_gpcc-octree-raht_r05,0.76401,0.90794,0.53655,0.88388,0.77391
p25_gpcc-octree-raht_r06,0.78558,0.91812,0.71081,0.90175,0.88415
p25_vpcc_r00,0.47224,0.65816,0.11354,0.59906,0.83087
p25_vpcc_r01,0.57431,0.73005,0.13723,0.62778,0.89974
p25_vpcc_r02,0.65855,0.78471,0.18803,0.67755,0.94608
p25_vpcc_r03,0.72056,0.82472,0.30829,0.77013,0.964
p25_vpcc_r04,0.76726,0.85551,0.51439,0.87736,0.97538
p25_vpcc_r05,0.80652,0.89013,0.69404,0.92537,0.93156
p26_geocnn_r01,0.77572,0.81759,0.67629,0.87097,1
p26_geocnn_r02,0.82963,0.86867,0.6941,0.87272,1
p26_geocnn_r03,0.87885,0.91163,0.71315,0.87175,1
p26_geocnn_r04,0.91457,0.94431,0.72187,0.87152,1
p26_gpcc-octree-predlift_r02,0.23394,0.47237,0.093531,0.52295,0.06825
p26_gpcc-octree-predlift_r03,0.48317,0.72262,0.10837,0.5835,0.26892
p26_gpcc-octree-predlift_r04,0.7065,0.87605,0.1784,0.8199,0.58415
p26_gpcc-octree-predlift_r05,0.76317,0.90432,0.48036,0.98392,0.78009
p26_gpcc-octree-predlift_r06,0.78326,0.91418,0.67078,0.93591,0.88704
p26_gpcc-octree-raht_r02,0.23394,0.47237,0.093064,0.52673,0.06825
p26_gpcc-octree-raht_r03,0.48317,0.72262,0.10969,0.58726,0.26892
p26_gpcc-octree-raht_r04,0.7065,0.87605,0.14407,0.73914,0.58415
p26_gpcc-octree-raht_r05,0.76317,0.90432,0.41818,0.95658,0.78009
p26_gpcc-octree-raht_r06,0.78326,0.91418,0.61549,0.91031,0.88704
p26_vpcc_r00,0.49235,0.63666,0.092805,0.57611,0.85025
p26_vpcc_r01,0.59954,0.71834,0.1075,0.61361,0.9294
p26_vpcc_r02,0.68563,0.77936,0.14968,0.69191,0.97605
p26_vpcc_r03,0.74511,0.82326,0.25994,0.78176,0.98936
p26_vpcc_r04,0.78997,0.85395,0.51351,0.90888,1
p26_vpcc_r05,0.82456,0.89066,0.75399,0.99299,0.97396
p27_geocnn_r01,0.82506,0.84296,0.29707,0.78499,1
p27_geocnn_r02,0.86613,0.8869,0.31041,0.77966,1
p27_geocnn_r03,0.90468,0.93246,0.31743,0.78086,1
p27_geocnn_r04,0.9394,0.95703,0.33134,0.77707,1
p27_gpcc-octree-predlift_r02,0.23229,0.41085,0.034044,0.5151,0.062266
p27_gpcc-octree-predlift_r03,0.49155,0.70446,0.065232,0.63875,0.25086
p27_gpcc-octree-predlift_r04,0.701,0.85921,0.19202,0.88242,0.56421
p27_gpcc-octree-predlift_r05,0.77053,0.91133,0.36189,0.93746,0.76803
p27_gpcc-octree-predlift_r06,0.78551,0.91667,0.58643,0.94113,0.87929
p27_gpcc-octree-raht_r02,0.23229,0.41085,0.030835,0.51952,0.062266
p27_gpcc-octree-raht_r03,0.49155,0.70446,0.062402,0.63065,0.25086
p27_gpcc-octree-raht_r04,0.701,0.85921,0.16557,0.85802,0.56421
p27_gpcc-octree-raht_r05,0.77053,0.91133,0.34073,0.92135,0.76803
p27_gpcc-octree-raht_r06,0.78551,0.91667,0.54919,0.92756,0.87929
p27_vpcc_r00,0.54901,0.64606,0.04847,0.6639,0.86382
p27_vpcc_r01,0.65013,0.7412,0.078739,0.75813,0.89536
p27_vpcc_r02,0.72816,0.80565,0.12688,0.85,0.95472
p27_vpcc_r03,0.77792,0.83964,0.21327,0.91052,0.97529
p27_vpcc_r04,0.81966,0.87023,0.38342,0.93703,0.99718
p27_vpcc_r05,0.85645,0.9095,0.48663,0.94672,0.97036
p28_geocnn_r01,0.75827,0.80061,0.32143,0.84356,1
p28_geocnn_r02,0.80531,0.84749,0.32949,0.84387,1
p28_geocnn_r03,0.8502,0.89127,0.3376,0.84539,1
p28_geocnn_r04,0.88783,0.92399,0.34681,0.84391,1
p28_gpcc-octree-predlift_r02,0.23845,0.50247,0.030766,0.52275,0.059618
p28_gpcc-octree-predlift_r03,0.48433,0.73097,0.059137,0.65418,0.26134
p28_gpcc-octree-predlift_r04,0.70609,0.87728,0.1673,0.96143,0.57725
p28_gpcc-octree-predlift_r05,0.76446,0.90668,0.37273,0.96063,0.77644
p28_gpcc-octree-predlift_r06,0.78514,0.91684,0.55081,0.95381,0.88518
p28_gpcc-octree-raht_r02,0.23845,0.50247,0.025709,0.52059,0.059618
p28_gpcc-octree-raht_r03,0.48433,0.73097,0.054639,0.63542,0.26134
p28_gpcc-octree-raht_r04,0.70609,0.87728,0.15228,0.89038,0.57725
p28_gpcc-octree-raht_r05,0.76446,0.90668,0.35535,0.93608,0.77644
p28_gpcc-octree-raht_r06,0.78514,0.91684,0.51335,0.93784,0.88518
p28_vpcc_r00,0.55012,0.6953,0.039715,0.58539,0.86244
p28_vpcc_r01,0.62685,0.75526,0.054689,0.62821,0.87641
p28_vpcc_r02,0.68904,0.80083,0.091879,0.7337,0.89694
p28_vpcc_r03,0.73258,0.83291,0.19386,0.91846,0.90515
p28_vpcc_r04,0.7663,0.85933,0.38721,0.95916,0.91089
p28_vpcc_r05,0.78938,0.88496,0.48061,0.96027,0.88203
p33_geocnn_r01,0.77061,0.79688,0.70843,0.77665,1
p33_geocnn_r02,0.84648,0.87715,0.75197,0.76324,1
p33_geocnn_r03,0.90384,0.93099,0.78449,0.75601,1
p33_geocnn_r04,0.94166,0.96088,0.79358,0.75122,1
