split,src,ppc,mos,ci
Test,p29,p29_gpcc-octree-raht_r04,4.329900705,0.139566989
Test,p29,p29_gpcc-octree-raht_r05,4.305996894,0.140387928
Test,p29,p29_gpcc-octree-raht_r06,4.382524451,0.133976181
Test,p29,p29_vpcc_r00,2.996366974,0.199771911
Test,p29,p29_vpcc_r01,3.438150328,0.151184217
Test,p29,p29_vpcc_r02,3.799653527,0.123666504
Test,p29,p29_vpcc_r03,4.092877318,0.165712919
Test,p29,p29_vpcc_r04,4.055519885,0.144109901
Test,p29,p29_vpcc_r05,4.219420232,0.162522105
Test,p30,p30_geocnn_r01,2.685787814,0.177027743
Test,p30,p30_geocnn_r02,3.562262582,0.159824053
Test,p30,p30_geocnn_r03,3.807057478,0.193478469
Test,p30,p30_geocnn_r04,4.256627756,0.143589624
Test,p30,p30_gpcc-octree-predlift_r02,1.734343225,0.192543418
Test,p30,p30_gpcc-octree-predlift_r03,3.0281403,0.199785735
Test,p30,p30_gpcc-octree-predlift_r04,4.081999708,0.14957019
Test,p30,p30_gpcc-octree-predlift_r05,4.144419567,0.142172711
Test,p30,p30_gpcc-octree-predlift_r06,4.380123367,0.115710507
Test,p30,p30_gpcc-octree-raht_r02,1.603646195,0.19160913
Test,p30,p30_gpcc-octree-raht_r03,3.174149759,0.170958005
Test,p30,p30_gpcc-octree-raht_r04,4.182465897,0.166275207
Test,p30,p30_gpcc-octree-raht_r05,4.059574146,0.137456379
Test,p30,p30_gpcc-octree-raht_r06,4.39537575,0.13015555
Test,p30,p30_vpcc_r00,3.001019341,0.191600066
Test,p30,p30_vpcc_r01,3.599030734,0.214335461
Test,p30,p30_vpcc_r02,3.978065595,0.19845068
Test,p30,p30_vpcc_r03,3.987012897,0.160798228
Test,p30,p30_vpcc_r04,3.926812714,0.171426848
Test,p30,p30_vpcc_r05,3.976917507,0.15997612
Test,p32,p32_gpcc-octree-predlift_r02,1.252476707,0.136741165
Test,p32,p32_gpcc-octree-predlift_r03,2.9527723,0.165252862
Test,p32,p32_gpcc-octree-predlift_r04,4.115035637,0.131257023
Test,p32,p32_gpcc-octree-predlift_r05,4.141658595,0.126700413
Test,p32,p32_gpcc-octree-predlift_r06,4.309617157,0.125530638
Test,p32,p32_gpcc-octree-raht_r02,1.200099824,0.131481003
Test,p32,p32_gpcc-octree-raht_r03,2.568091523,0.162679364
Test,p32,p32_gpcc-octree-raht_r04,3.697438325,0.138702041
Test,p32,p32_gpcc-octree-raht_r05,4.089618627,0.145744583
Test,p32,p32_gpcc-octree-raht_r06,4.504880352,0.099050237
Test,p32,p32_vpcc_r00,3.017217733,0.156956935
Test,p32,p32_vpcc_r01,3.959292548,0.130444402
Test,p32,p32_vpcc_r02,4.116090543,0.12698165
Test,p32,p32_vpcc_r03,4.050622887,0.162901609
Test,p32,p32_vpcc_r04,4.156119629,0.136664906
Test,p32,p32_vpcc_r05,4.369828061,0.122532125
Test,p38,p38_geocnn_r01,2.275291276,0.182981895
Test,p38,p38_geocnn_r02,3.20686651,0.186972327
Test,p38,p38_geocnn_r03,3.628153941,0.172732908
Test,p38,p38_geocnn_r04,3.798689146,0.133565804
Test,p38,p38_gpcc-octree-predlift_r02,1.473274998,0.118507968
Test,p38,p38_gpcc-octree-predlift_r03,2.704729065,0.159343495
Test,p38,p38_gpcc-octree-predlift_r04,4.044642558,0.135460455
Test,p38,p38_gpcc-octree-predlift_r05,4.611395547,0.095695806
Test,p38,p38_gpcc-octree-predlift_r06,4.678347125,0.085265267
Test,p38,p38_gpcc-octree-raht_r02,1.223246676,0.146007708
Test,p38,p38_gpcc-octree-raht_r03,2.764748867,0.156415963
Test,p38,p38_gpcc-octree-raht_r04,4.034340118,0.13882832
Test,p38,p38_gpcc-octree-raht_r05,4.532628868,0.121287778
Test,p38,p38_gpcc-octree-raht_r06,4.672838298,0.154603874
Test,p38,p38_vpcc_r00,2.564196814,0.133889264
Test,p38,p38_vpcc_r01,2.990821993,0.169114418
Test,p38,p38_vpcc_r02,3.68801259,0.168389976
Test,p38,p38_vpcc_r03,3.994788636,0.132870672
Test,p38,p38_vpcc_r04,4.201912511,0.138421654
Test,p38,p38_vpcc_r05,4.240084548,0.166690482
Test,p47,p47_geocnn_r01,4.064496994,0.154084803
Test,p47,p47_geocnn_r02,4.445886516,0.120003111
Test,p47,p47_geocnn_r03,4.330173584,0.155258356
Test,p47,p47_geocnn_r04,4.527654531,0.114825906
Test,p47,p47_gpcc-octree-predlift_r02,1.156325161,0.117878163
Test,p47,p47_gpcc-octree-predlift_r03,2.492136374,0.18784331
Test,p47,p47_gpcc-octree-predlift_r04,4.137463267,0.133846855
Test,p47,p47_gpcc-octree-predlift_r05,4.482835912,0.10418886
Test,p47,p47_gpcc-octree-predlift_r06,4.686867611,0.094346332
Test,p47,p47_gpcc-octree-raht_r02,1.142754778,0.133130899
Test,p47,p47_gpcc-octree-raht_r03,2.074469936,0.206265436
Test,p47,p47_gpcc-octree-raht_r04,3.582210119,0.152659215
Test,p47,p47_gpcc-octree-raht_r05,4.323354386,0.153746634
Test,p47,p47_gpcc-octree-raht_r06,4.572109901,0.107849033
Test,p47,p47_vpcc_r00,1.202087986,0.119981668
Test,p47,p47_vpcc_r01,1.904447279,0.176248696
Test,p47,p47_vpcc_r02,2.827401656,0.155547897
Test,p47,p47_vpcc_r03,3.912894187,0.140962181
Test,p47,p47_vpcc_r04,4.556263473,0.131440629
Test,p47,p47_vpcc_r05,4.568503554,0.134474856
Test,p57,p57_geocnn_r01,3.009448702,0.179150941
Test,p57,p57_geocnn_r02,3.86235418,0.209488077
Test,p57,p57_geocnn_r03,4.442475932,0.130696739
Test,p57,p57_geocnn_r04,4.271015177,0.182800551
Test,p57,p57_gpcc-octree-predlift_r02,1.302066411,0.134936428
Test,p57,p57_gpcc-octree-predlift_r03,2.641010331,0.240242163
Test,p57,p57_gpcc-octree-predlift_r04,4.131134718,0.137371
Test,p57,p57_gpcc-octree-predlift_r05,4.45242974,0.142006651
Test,p57,p57_gpcc-octree-predlift_r06,4.225220407,0.166879889
Test,p57,p57_gpcc-octree-raht_r02,1.300589193,0.122163505
Test,p57,p57_gpcc-octree-raht_r03,2.855015407,0.178331245
Test,p57,p57_gpcc-octree-raht_r04,4.133991247,0.148804584
Test,p57,p57_gpcc-octree-raht_r05,4.200136476,0.17100924
Test,p57,p57_gpcc-octree-raht_r06,4.342447008,0.143082577
Test,p57,p57_vpcc_r00,2.419139331,0.173715535
Test,p57,p57_vpcc_r01,3.145711955,0.168890365
Test,p57,p57_vpcc_r02,3.902911403,0.163352776
Test,p57,p57_vpcc_r03,4.138469658,0.140559659
Test,p57,p57_vpcc_r04,4.332537405,0.150487617
Test,p57,p57_vpcc_r05,4.341575609,0.146009353
Test,p59,p59_geocnn_r01,3.028681024,0.158624597
Test,p59,p59_geocnn_r02,3.903606565,0.158723038
Test,p59,p59_geocnn_r03,3.722147917,0.17472286
Test,p59,p59_geocnn_r04,3.882077481,0.202035413
Test,p59,p59_gpcc-octree-predlift_r02,1.29697039,0.121399231
Test,p59,p59_gpcc-octree-predlift_r03,2.553241209,0.171768912
Test,p59,p59_gpcc-octree-predlift_r04,3.764816305,0.132050802
Test,p59,p59_gpcc-octree-predlift_r05,4.244827575,0.15133423
Test,p59,p59_gpcc-octree-predlift_r06,4.344014092,0.154398881
Test,p59,p59_gpcc-octree-raht_r02,1.313052822,0.143875662
Test,p59,p59_gpcc-octree-raht_r03,2.372908229,0.160563817
Test,p59,p59_gpcc-octree-raht_r04,3.551949657,0.172287193
Test,p59,p59_gpcc-octree-raht_r05,4.251386231,0.14132201
Test,p59,p59_gpcc-octree-raht_r06,4.219517736,0.129045172
Test,p59,p59_vpcc_r00,2.119839459,0.18466204
Test,p59,p59_vpcc_r01,2.711937089,0.16565191
Test,p59,p59_vpcc_r02,3.146313242,0.17202332
Test,p59,p59_vpcc_r03,3.992465395,0.16978165
Test,p59,p59_vpcc_r04,4.096196738,0.146562648
Test,p59,p59_vpcc_r05,4.197061059,0.130537284
Test,p61,p61_geocnn_r01,3.659077522,0.160404166
Test,p61,p61_geocnn_r02,3.393526271,0.176077871
Test,p61,p61_geocnn_r03,3.78647044,0.164022031
Test,p61,p61_geocnn_r04,4.051825399,0.169718972
Test,p61,p61_gpcc-octree-predlift_r02,1.475273054,0.143872265
Test,p61,p61_gpcc-octree-predlift_r03,2.847821874,0.16416763
Test,p61,p61_gpcc-octree-predlift_r04,4.364495295,0.147160384
Test,p61,p61_gpcc-octree-predlift_r05,4.518821035,0.123487153
Test,p61,p61_gpcc-octree-predlift_r06,4.459766078,0.130259489
Test,p61,p61_gpcc-octree-raht_r02,1.273130322,0.141299658
Test,p61,p61_gpcc-octree-raht_r03,2.826136319,0.204018967
Test,p61,p61_gpcc-octree-raht_r04,4.421197401,0.121457313
Test,p61,p61_gpcc-octree-raht_r05,4.434462427,0.133529674
Test,p61,p61_gpcc-octree-raht_r06,4.529744807,0.115995338
Test,p61,p61_vpcc_r00,2.552696135,0.197588456
Test,p61,p61_vpcc_r01,3.596325096,0.149750676
Test,p61,p61_vpcc_r02,4.232167841,0.128944933
Test,p61,p61_vpcc_r03,4.397402546,0.134012259
Test,p61,p61_vpcc_r04,4.151473461,0.163514288
Test,p61,p61_vpcc_r05,4.66443254,0.0840026
Test,p63,p63_geocnn_r01,4.231379676,0.160685078
Test,p63,p63_geocnn_r02,4.614782952,0.110919382
Test,p63,p63_geocnn_r03,4.626061496,0.13572923
Test,p63,p63_geocnn_r04,4.683181115,0.112926753
Test,p63,p63_gpcc-octree-predlift_r02,1.409194766,0.178123752
Test,p63,p63_gpcc-octree-predlift_r03,2.931192034,0.15665712
Test,p63,p63_gpcc-octree-predlift_r04,4.374067879,0.119041854
Test,p63,p63_gpcc-octree-predlift_r05,4.551565458,0.134490692
Test,p63,p63_gpcc-octree-predlift_r06,4.63208162,0.116237663
Test,p63,p63_gpcc-octree-raht_r02,1.287128172,0.142180943
Test,p63,p63_gpcc-octree-raht_r03,2.381459816,0.172315175
Test,p63,p63_gpcc-octree-raht_r04,3.908396282,0.126403541
Test,p63,p63_gpcc-octree-raht_r05,4.727982837,0.077600822
Test,p63,p63_gpcc-octree-raht_r06,4.623695817,0.114157531
Test,p63,p63_vpcc_r00,1.914588845,0.2032078
Test,p63,p63_vpcc_r01,2.344489399,0.18961362
Test,p63,p63_vpcc_r02,2.943418815,0.16051877
Test,p63,p63_vpcc_r03,4.218042945,0.135717199
Test,p63,p63_vpcc_r04,4.682696306,0.10099551
Test,p63,p63_vpcc_r05,4.679833342,0.142632102
Test,p66,p66_geocnn_r01,3.282988809,0.149604105
Test,p66,p66_geocnn_r02,4.240204208,0.173924481
Test,p66,p66_geocnn_r03,4.378614418,0.141793496
Test,p66,p66_geocnn_r04,4.474890628,0.136868219
Test,p66,p66_gpcc-octree-predlift_r02,1.264118519,0.113780883
Test,p66,p66_gpcc-octree-predlift_r03,3.138929965,0.152764322
Test,p66,p66_gpcc-octree-predlift_r04,4.276442139,0.137059192
Test,p66,p66_gpcc-octree-predlift_r05,4.652210567,0.090578001
Test,p66,p66_gpcc-octree-predlift_r06,4.733174021,0.114894755
Test,p66,p66_gpcc-octree-raht_r02,1.311417432,0.124712679
Test,p66,p66_gpcc-octree-raht_r03,2.760133355,0.16536933
Test,p66,p66_gpcc-octree-raht_r04,4.050416732,0.11847873
Test,p66,p66_gpcc-octree-raht_r05,4.460358755,0.112518801
Test,p66,p66_gpcc-octree-raht_r06,4.672288031,0.115805102
Test,p66,p66_vpcc_r00,1.66468534,0.151111187
Test,p66,p66_vpcc_r01,2.765893309,0.169920558
Test,p66,p66_vpcc_r02,3.466318078,0.149060988
Test,p66,p66_vpcc_r03,4.054035604,0.125481157
Test,p66,p66_vpcc_r04,4.223417414,0.135280946
Test,p66,p66_vpcc_r05,4.342792416,0.144103722
